service_id,date,exception_type
L1202LP103_012002,20260713,1
L1202LP103_012002,20260714,1
L1202LP103_012002,20260715,1
L1202SP100_012002,20260711,1
L1203LP104_012003,20260709,1
L1203LP104_012003,20260710,1
L1203LP104_012003,20260713,1
L1203LP104_012003,20260714,1
L1203LP104_012003,20260715,1
L1203SP104_012003,20260711,1
L1204LP104_012004,20260709,1
L1204LP104_012004,20260710,1
L1204LP104_012004,20260713,1
L1204LP104_012004,20260714,1
L1204LP104_012004,20260715,1
L1204SP102_012004,20260711,1
L1205LP101_012005,20260709,1
L1205LP101_012005,20260710,1
L1205LP101_012005,20260713,1
L1205LP101_012005,20260714,1
L1205LP101_012005,20260715,1
L1301LP200_013001,20260709,1
L1301LP200_013001,20260710,1
L1301LP200_013001,20260713,1
L1301LP200_013001,20260714,1
L1301LP200_013001,20260715,1
L1302LP502_013002,20260709,1
L1302LP502_013002,20260710,1
L1302LP701_013002,20260713,1
L1302LP701_013002,20260714,1
L1302LP701_013002,20260715,1
L1303LP101_013003,20260709,1
L1303LP101_013003,20260710,1
L1303LP101_013003,20260713,1
L1303LP101_013003,20260714,1
L1303LP101_013003,20260715,1
L1401L0106_014001,20260709,1
L1401L0106_014001,20260710,1
L1401L0106_014001,20260713,1
L1401L0106_014001,20260714,1
L1401L0106_014001,20260715,1
L1401S0104_014001,20260711,1
L1501FP100_015001,20260712,1
L1501LP102_015001,20260709,1
L1501LP102_015001,20260710,1
L1501LP102_015001,20260713,1
L1501LP102_015001,20260714,1
L1501LP102_015001,20260715,1
L1501SP101_015001,20260711,1
L1502FP100_015002,20260712,1
L1502LP102_015002,20260709,1
L1502LP102_015002,20260710,1
L1502LP102_015002,20260713,1
L1502LP102_015002,20260714,1
L1502LP102_015002,20260715,1
L1502SP102_015002,20260711,1
L1503FP100_015003,20260712,1
L1503LP100_015003,20260709,1
L1503LP100_015003,20260710,1
L1503LP100_015003,20260713,1
L1503LP100_015003,20260714,1
L1503LP100_015003,20260715,1
L1503SP100_015003,20260711,1
L1504FP101_015004,20260712,1
L1504LP101_015004,20260709,1
L1504LP101_015004,20260710,1
L1504LP101_015004,20260713,1
L1504LP101_015004,20260714,1
L1504LP101_015004,20260715,1
L1504SP100_015004,20260711,1
L1505LP101_015005,20260709,1
L1505LP101_015005,20260710,1
L1505LP101_015005,20260713,1
L1505LP101_015005,20260714,1
L1505LP101_015005,20260715,1
L1505SP100_015005,20260711,1
L1506LP101_015006,20260709,1
L1506LP101_015006,20260710,1
L1506LP101_015006,20260713,1
L1506LP101_015006,20260714,1
L1506LP101_015006,20260715,1
L1506SP100_015006,20260711,1
L1507LP100_015007,20260709,1
L1507LP100_015007,20260710,1
L1507LP100_015007,20260713,1
L1507LP100_015007,20260714,1
L1507LP100_015007,20260715,1
L1507SP100_015007,20260711,1
L1508LP202_015008,20260709,1
L1508LP202_015008,20260710,1
L1508LP202_015008,20260713,1
L1508LP202_015008,20260714,1
L1508LP202_015008,20260715,1
L1601FP102_016001,20260712,1
L1601LP104_016001,20260709,1
L1601LP104_016001,20260710,1
L1601LP104_016001,20260713,1
L1601LP104_016001,20260714,1
L1601LP104_016001,20260715,1
L1601SP102_016001,20260711,1
L1701FP102_017001,20260712,1
L1701LP102_017001,20260709,1
L1701LP102_017001,20260710,1
L1701LP102_017001,20260713,1
L1701LP102_017001,20260714,1
L1701LP102_017001,20260715,1
L1701SP101_017001,20260711,1
L1702FP102_017002,20260712,1
L1702LP103_017002,20260709,1
L1702LP103_017002,20260710,1
L1702LP103_017002,20260713,1
L1702LP103_017002,20260714,1
L1702LP103_017002,20260715,1
L1702SP101_017002,20260711,1
L1703LP103_017003,20260709,1
L1703LP103_017003,20260710,1
L1703LP103_017003,20260713,1
L1703LP103_017003,20260714,1
L1703LP103_017003,20260715,1
L1704LP104_017004,20260709,1
L1704LP104_017004,20260710,1
L1704LP104_017004,20260713,1
L1704LP104_017004,20260714,1
L1704LP104_017004,20260715,1
L1801LP104_018001,20260709,1
L1801LP104_018001,20260710,1
L1801LP104_018001,20260713,1
L1801LP104_018001,20260714,1
L1801LP104_018001,20260715,1
L2301FPV01_023001,20260712,1
L2301LV 06_023001,20260709,1
L2301LV 06_023001,20260710,1
L2301LV 06_023001,20260713,1
L2301LV 06_023001,20260714,1
L2301LV 06_023001,20260715,1
L2301SV 05_023001,20260711,1
L2302FPV01_023002,20260712,1
L2302LV 05_023002,20260709,1
L2302LV 05_023002,20260710,1
L2302LV 05_023002,20260713,1
L2302LV 05_023002,20260714,1
L2302LV 05_023002,20260715,1
L2302SV 06_023002,20260711,1
L2303LV104_023003,20260709,1
L2303LV104_023003,20260710,1
L2303LV200_023003,20260713,1
L2303LV200_023003,20260714,1
L2303LV200_023003,20260715,1
L2401FP102_024001,20260712,1
L2401LP302_024001,20260709,1
L2401LP302_024001,20260710,1
L2401LP302_024001,20260713,1
L2401LP302_024001,20260714,1
L2401LP302_024001,20260715,1
L2401SP102_024001,20260711,1
L2402FP102_024002,20260712,1
L2402LP101_024002,20260709,1
L2402LP101_024002,20260710,1
L2402LP101_024002,20260713,1
L2402LP101_024002,20260714,1
L2402LP101_024002,20260715,1
L2402SP102_024002,20260711,1
L2501L0104_025001,20260709,1
L2501L0104_025001,20260710,1
L2501L0104_025001,20260713,1
L2501L0104_025001,20260714,1
L2501L0104_025001,20260715,1
L2501S0103_025001,20260711,1
L2502L0104_025002,20260709,1
L2502L0104_025002,20260710,1
L2502L0104_025002,20260713,1
L2502L0104_025002,20260714,1
L2502L0104_025002,20260715,1
L2701L0112_027001,20260709,1
L2701L0112_027001,20260710,1
L2701L0112_027001,20260713,1
L2701L0112_027001,20260714,1
L2701L0112_027001,20260715,1
L2702LP200_027002,20260709,1
L2702LP200_027002,20260710,1
L2702LP200_027002,20260713,1
L2702LP200_027002,20260714,1
L2702LP200_027002,20260715,1
L2801LV 00_028001,20260709,1
L2801LV 00_028001,20260710,1
L2801LV 00_028001,20260713,1
L2801LV 00_028001,20260714,1
L2801LV 00_028001,20260715,1
L2801S0109_028001,20260711,1
L3001LP102_030001,20260709,1
L3001LP102_030001,20260712,1
L3001LP102_030001,20260713,1
L3001LP102_030001,20260714,1
L3001LP102_030001,20260715,1
L3001LP203_030001,20260710,1
L3001SP102_030001,20260711,1
L3101FP102_031001,20260712,1
L3101LP180_031001,20260709,1
L3101LP180_031001,20260710,1
L3101LP180_031001,20260713,1
L3101LP180_031001,20260714,1
L3101LP180_031001,20260715,1
L3101SP103_031001,20260711,1
L3102LP101_031002,20260709,1
L3102LP101_031002,20260710,1
L3102LP101_031002,20260713,1
L3102LP101_031002,20260714,1
L3102LP101_031002,20260715,1
L3103LP103_031003,20260709,1
L3103LP103_031003,20260710,1
L3103LP103_031003,20260713,1
L3103LP103_031003,20260714,1
L3103LP103_031003,20260715,1
L3301LPV01_033001,20260710,1
L3301LPV01_033001,20260711,1
L4 01FPV00_004001,20260712,1
L4 01LP102_004001,20260709,1
L4 01LP102_004001,20260710,1
L4 01LP102_004001,20260713,1
L4 01LP102_004001,20260714,1
L4 01LP102_004001,20260715,1
L4 01SPV01_004001,20260711,1
L4 02FPV00_004002,20260712,1
L4 02LPV01_004002,20260709,1
L4 02LPV01_004002,20260710,1
L4 02LPV01_004002,20260713,1
L4 02LPV01_004002,20260714,1
L4 02LPV01_004002,20260715,1
L4 02SPV00_004002,20260711,1
L4 03FPV00_004003,20260712,1
L4 03LPV00_004003,20260709,1
L4 03LPV00_004003,20260710,1
L4 03LPV00_004003,20260713,1
L4 03LPV00_004003,20260714,1
L4 03LPV00_004003,20260715,1
L4 03SPV00_004003,20260711,1
L4 04FPV01_004004,20260712,1
L4 04LPV02_004004,20260709,1
L4 04LPV02_004004,20260710,1
L4 04LPV02_004004,20260713,1
L4 04LPV02_004004,20260714,1
L4 04LPV02_004004,20260715,1
L4 04SPV00_004004,20260711,1
L4 05LP200_004005,20260709,1
L4 05LP200_004005,20260710,1
L4 05LP200_004005,20260713,1
L4 05LP200_004005,20260714,1
L4 05LP200_004005,20260715,1
L4 06LPV01_004006,20260709,1
L4 06LPV01_004006,20260710,1
L4 06LPV01_004006,20260713,1
L4 06LPV01_004006,20260714,1
L4 06LPV01_004006,20260715,1
L4 07LPV01_004007,20260709,1
L4 07LPV01_004007,20260710,1
L4 07LPV01_004007,20260713,1
L4 07LPV01_004007,20260714,1
L4 07LPV01_004007,20260715,1
L5 01FP101_005001,20260712,1
L5 01LP101_005001,20260709,1
L5 01LP101_005001,20260710,1
L5 01LP101_005001,20260713,1
L5 01LP101_005001,20260714,1
