stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
3720,P009040,Estrada das Plantas (cruce Camiño Monte Vello),Parada,42.2083156404566,-8.67028243794584,,,,,Europe/Madrid,1
3718,P009020,Xestoso  ,Parada,42.207584621812,-8.67010819597522,,,,,Europe/Madrid,1
3553,P007500,Rúa do Carballal  18,Parada,42.1963882249032,-8.68415167610371,,,,,Europe/Madrid,1
3552,P007490,Rúa do Carballal  52,Parada,42.1940910989468,-8.6833926109525,,,,,Europe/Madrid,1
3583,P007760,Camiño das Cunchadas (cruce Rúa da Senra),Parada,42.1933001990945,-8.68102153818333,,,,,Europe/Madrid,1
3565,P007620,Rúa das Chans  97,Parada,42.1891467580241,-8.67870854843673,,,,,Europe/Madrid,1
3775,P0014154,Rúa das Chans (fronte 56),Parada,42.1936025797968,-8.6772589927044,,,,,Europe/Madrid,1
3564,P007610,Rúa das Chans (Colexio),Parada,42.1966473945228,-8.67780190414109,,,,,Europe/Madrid,1
3563,P007600,Rúa dos Chans (cruce Subida Chans),Parada,42.1985445539639,-8.67782493880654,,,,,Europe/Madrid,1
3633,P008230,Rúa dos Chans (cruce Camiño Regada),Parada,42.1991466250437,-8.67641946128273,,,,,Europe/Madrid,1
3950,P0014330,Subida ás Chans (fronte cruce Rúa Senra),Parada,42.1980726666054,-8.68262465251763,,,,,Europe/Madrid,1
3550,P007470,Rúa Da Cruz  63,Parada,42.1982068243807,-8.68487833626475,,,,,Europe/Madrid,1
3490,P006900,Rúa da Cruz  49,Parada,42.1990314426816,-8.68616579659189,,,,,Europe/Madrid,1
3551,P007480,Rúa Da Cruz  19,Parada,42.2007298873202,-8.68425896446431,,,,,Europe/Madrid,1
3773,P0014152,Rúa do Monte Calvario  4,Parada,42.2048154022016,-8.68716896894594,,,,,Europe/Madrid,1
3639,P008282,Subida á Mouteira  6,Parada,42.2068549007755,-8.68603105796655,,,,,Europe/Madrid,1
3570,P007662,Rúa de Recaré  6,Parada,42.2110134620992,-8.68554294967979,,,,,Europe/Madrid,1
3571,P007664,Rúa de Recaré (cruce Segade),Parada,42.2112013273881,-8.68883851690984,,,,,Europe/Madrid,1
3584,P007762,Rúa de Segade  41,Parada,42.2095751005179,-8.69054883285523,,,,,Europe/Madrid,1
3147,P003574,Estrada de Bembrive  129,Parada,42.2085333108364,-8.69498785414859,,,,,Europe/Madrid,1
3125,P003380,Cruce Eifonso,Parada,42.2056231077994,-8.693239334824,,,,,Europe/Madrid,1
3717,P009010,Rúa de Xeme  71,Parada,42.203157886958,-8.69429310838902,,,,,Europe/Madrid,1
3029,P002460,Rúa de Xeme  59,Parada,42.2033009425872,-8.69632085840428,,,,,Europe/Madrid,1
4030,P0014411,Rúa de Xeme  1,Parada,42.2051745429446,-8.69820913355076,,,,,Europe/Madrid,1
3059,P002750,Rúa do Cacheno  28,Parada,42.2067183399351,-8.69916012687596,,,,,Europe/Madrid,1
3061,P002760,Rúa do Cacheno  66,Parada,42.2081944428025,-8.70151897947514,,,,,Europe/Madrid,1
3024,P002410,Baixada ao Río  31,Parada,42.209020913615,-8.70233168880665,,,,,Europe/Madrid,1
3508,P007070,Estrada de Moledo  109,Parada,42.2106201876454,-8.7041770486089,,,,,Europe/Madrid,1
3214,P004240,Estrada de Moledo  73,Parada,42.2123783488959,-8.70472958366597,,,,,Europe/Madrid,1
3215,P004250,Estrada de Moledo  25,Parada,42.2133775972892,-8.70601167957508,,,,,Europe/Madrid,1
3213,P004230,Estrada de Moledo  1,Parada,42.2153737610103,-8.70737834942534,,,,,Europe/Madrid,1
3505,P007040,Estrada de Miraflores  1 ,Parada,42.2184353477763,-8.70992442919304,,,,,Europe/Madrid,1
3539,P007390,Camiño do Raviso  35,Parada,42.2201673107403,-8.70696386377537,,,,,Europe/Madrid,1
4846,PA20105,Rúa de Emilia Pardo Bazán  121,Parada,42.2212320348181,-8.70980864726283,,,,,Europe/Madrid,1
3221,P004310,Rúa de Emilia Pardo Bazán  111,Parada,42.2227137615185,-8.71155580560887,,,,,Europe/Madrid,1
3225,P004350,Rúa de Emilia Pardo Bazán  43,Parada,42.2245629515732,-8.71339043657505,,,,,Europe/Madrid,1
3223,P004330,Rúa de Emilia Pardo Bazán (cruce Baixada á Salgueira),Parada,42.2264631464714,-8.71614062010943,,,,,Europe/Madrid,1
3219,P004290,Rúa de Emilia Pardo Bazán  3,Parada,42.2277857394905,-8.71946088941414,,,,,Europe/Madrid,1
5415,PA20146,GARCÍA BARBÓN NO ACTIVA,Parada,42.2375335660961,-8.71954632000237,,,,,Europe/Madrid,1
3472,P006730,Rúa do Couto  29,Parada,42.1993864114692,-8.69541701563335,,,,,Europe/Madrid,1
2787,P0070,Rúa da Lagoa (cruce Camiño do Casmarcelo),Parada,42.200201750454,-8.70062160802792,,,,,Europe/Madrid,1
3375,P005840,Rúa da Lagoa (cruce Rúa do Balde),Parada,42.2013608957114,-8.7028773943978,,,,,Europe/Madrid,1
5442,PA20166,Camiño da Brea  2,Parada,42.2021348414087,-8.70572792997086,,,,,Europe/Madrid,1
3038,P002550,Camiño da Brea  10,Parada,42.2040865774397,-8.70483244471805,,,,,Europe/Madrid,1
5579,PA2551,Camiño da Brea  40,Parada,42.2057798605791,-8.70488510068489,,,,,Europe/Madrid,1
